id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,color,size,custom_label_0
"ip16pm-256-a90","iPhone 16 Pro Max 128GB Usado A+","iPhone 16 Pro Max 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","1110.00 USD","https://qrtech.com.ar/productos?sku=ip16pm","https://qrtech.com.ar/img/productos/16pm.png","","Apple","ip16pm","","128GB","≥90%"
"ip16pm-256-a100","iPhone 16 Pro Max 128GB Usado A+","iPhone 16 Pro Max 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","1110.00 USD","https://qrtech.com.ar/productos?sku=ip16pm","https://qrtech.com.ar/img/productos/16pm.png","","Apple","ip16pm","","128GB","100%"
"redmi-14c-128-nuevo","Redmi 14C 4GB / 128GB 128GB Nuevo","Redmi 14C 4GB / 128GB 128GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","175.00 USD","https://qrtech.com.ar/productos?sku=redmi-14c-4-128","https://qrtech.com.ar/img/productos/redmi-14c.png","","Xiaomi","redmi-14c-4-128","","128GB","—"
"redmi-14c-256-nuevo","Redmi 14C 8GB / 256GB 256GB Nuevo","Redmi 14C 8GB / 256GB 256GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","198.00 USD","https://qrtech.com.ar/productos?sku=redmi-14c-8-256","https://qrtech.com.ar/img/productos/redmi-14c2.png","","Xiaomi","redmi-14c-8-256","","256GB","—"
"redmi-note-14-256-nuevo","Redmi Note 14 8GB / 256GB 256GB Nuevo","Redmi Note 14 8GB / 256GB 256GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","240.00 USD","https://qrtech.com.ar/productos?sku=redmi-note-14-8-256","https://qrtech.com.ar/img/productos/redmi-note-14.png","","Xiaomi","redmi-note-14-8-256","","256GB","—"
"redmi-note-14-pro-256-nuevo","Redmi Note 14 Pro 8GB / 256GB 256GB Nuevo","Redmi Note 14 Pro 8GB / 256GB 256GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","283.00 USD","https://qrtech.com.ar/productos?sku=redmi-note-14-pro-8-256","https://qrtech.com.ar/img/productos/redmi-note-14p.png","","Xiaomi","redmi-note-14-pro-8-256","","256GB","—"
"sm-a06-64-nuevo","Samsung Galaxy A06 4GB / 64GB 64GB Nuevo","Samsung Galaxy A06 4GB / 64GB 64GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","167.00 USD","https://qrtech.com.ar/productos?sku=sm-a06-4-64","https://qrtech.com.ar/img/productos/smg-a06.png","","Samsung","sm-a06-4-64","","64GB","—"
"sm-a16-6-256","Samsung Galaxy A16 6GB / 256GB","Samsung Galaxy A16 6GB / 256GB · Garantía QRTech.","in stock","used","270.00 USD","https://qrtech.com.ar/productos?sku=sm-a16-6-256","https://qrtech.com.ar/img/productos/smg-a16.png","","Samsung","sm-a16-6-256","","",""
"sm-a36-256-nuevo","Samsung Galaxy A36 8GB / 256GB 256GB Nuevo","Samsung Galaxy A36 8GB / 256GB 256GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","365.00 USD","https://qrtech.com.ar/productos?sku=sm-a36-8-256","https://qrtech.com.ar/img/productos/smg-a36.png","","Samsung","sm-a36-8-256","","256GB","—"
"sm-a56-256-nuevo","Samsung Galaxy A56 8GB / 256GB 256GB Nuevo","Samsung Galaxy A56 8GB / 256GB 256GB · Nuevo · Batería —. Garantía QRTech.","in stock","used","455.00 USD","https://qrtech.com.ar/productos?sku=sm-a56-8-256","https://qrtech.com.ar/img/productos/smg-a56.png","","Samsung","sm-a56-8-256","","256GB","—"
"cbl-usbc-lightning","Cable USB-C a Lightning 1m (Alta calidad)","Cable USB-C a Lightning 1m (Alta calidad) · Garantía QRTech.","in stock","used","5.00 USD","https://qrtech.com.ar/productos?sku=cbl-usbc-lightning-1m","https://qrtech.com.ar/img/productos/cbl-usbc-lightning.png","","Genérica","cbl-usbc-lightning-1m","","",""
"cbl-usbc-usbc","Cable USB-C a USB-C 1m (Carga rápida)","Cable USB-C a USB-C 1m (Carga rápida) · Garantía QRTech.","in stock","used","5.00 USD","https://qrtech.com.ar/productos?sku=cbl-usbc-usbc-1m","https://qrtech.com.ar/img/productos/cbl-usbc-usbc.png","","Genérica","cbl-usbc-usbc-1m","","",""
"cbl-usba-lightning","Cable USB-A a Lightning 1m","Cable USB-A a Lightning 1m · Garantía QRTech.","in stock","used","5.00 USD","https://qrtech.com.ar/productos?sku=cbl-usba-lightning-1m","https://qrtech.com.ar/img/productos/cbl-usba-lightning.png","","Genérica","cbl-usba-lightning-1m","","",""
"chg-iphone-20w","Cargador iPhone 20W USB-C (fuente)","Cargador iPhone 20W USB-C (fuente) · Garantía QRTech.","in stock","used","12.00 USD","https://qrtech.com.ar/productos?sku=chg-iphone-20w-usbc","https://qrtech.com.ar/img/productos/chg-iphone-20w.png","","Genérica","chg-iphone-20w-usbc","","",""
"pbank-magsafe","Power Bank MagSafe 10000 mAh","Power Bank MagSafe 10000 mAh · Garantía QRTech.","in stock","used","25.00 USD","https://qrtech.com.ar/productos?sku=pbank-magsafe-10000","https://qrtech.com.ar/img/productos/pbank-magsafe.png","","Genérica","pbank-magsafe-10000","","",""
"m90pro","Auriculares M90 Pro Bluetooth","Auriculares M90 Pro Bluetooth · Garantía QRTech.","in stock","used","10.00 USD","https://qrtech.com.ar/productos?sku=m90pro-bluetooth","https://qrtech.com.ar/img/productos/m90pro.png","","M90","m90pro-bluetooth","","",""
